Year,City,Violations,Statistics,Value
2021,"Toronto, Ontario [35535]","Total, all Criminal Code violations (including traffic) [25]",Actual incidents,205536
2022,"Toronto, Ontario [35535]","Total, all Criminal Code violations (including traffic) [25]",Actual incidents,244807
2023,"Toronto, Ontario [35535]","Total, all Criminal Code violations (including traffic) [25]",Actual incidents,295341
2024,"Toronto, Ontario [35535]","Total, all Criminal Code violations (including traffic) [25]",Actual incidents,304082
2021,"Toronto, Ontario [35535]","Total, all Criminal Code violations (including traffic) [25]","Rate per 100,000 population",3225.03
2022,"Toronto, Ontario [35535]","Total, all Criminal Code violations (including traffic) [25]","Rate per 100,000 population",3770.55
2023,"Toronto, Ontario [35535]","Total, all Criminal Code violations (including traffic) [25]","Rate per 100,000 population",4381.25
2024,"Toronto, Ontario [35535]","Total, all Criminal Code violations (including traffic) [25]","Rate per 100,000 population",4342.72
2021,"Toronto, Ontario [35535]","Total, all Criminal Code violations (including traffic) [25]",Percentage change in rate,3.92
2022,"Toronto, Ontario [35535]","Total, all Criminal Code violations (including traffic) [25]",Percentage change in rate,16.92
2023,"Toronto, Ontario [35535]","Total, all Criminal Code violations (including traffic) [25]",Percentage change in rate,16.2
2024,"Toronto, Ontario [35535]","Total, all Criminal Code violations (including traffic) [25]",Percentage change in rate,-0.88
2021,"Toronto, Ontario [35535]","Total, all Criminal Code violations (including traffic) [25]",Percentage contribution to the Crime Severity Index (CSI),95.77
2022,"Toronto, Ontario [35535]","Total, all Criminal Code violations (including traffic) [25]",Percentage contribution to the Crime Severity Index (CSI),96.57
2023,"Toronto, Ontario [35535]","Total, all Criminal Code violations (including traffic) [25]",Percentage contribution to the Crime Severity Index (CSI),97.12
2024,"Toronto, Ontario [35535]","Total, all Criminal Code violations (including traffic) [25]",Percentage contribution to the Crime Severity Index (CSI),96.64
2021,"Toronto, Ontario [35535]","Total, all Criminal Code violations (including traffic) [25]",Unfounded incidents,8246
2022,"Toronto, Ontario [35535]","Total, all Criminal Code violations (including traffic) [25]",Unfounded incidents,8455
2023,"Toronto, Ontario [35535]","Total, all Criminal Code violations (including traffic) [25]",Unfounded incidents,6993
2024,"Toronto, Ontario [35535]","Total, all Criminal Code violations (including traffic) [25]",Unfounded incidents,5828
2021,"Toronto, Ontario [35535]","Total, all Criminal Code violations (including traffic) [25]",Percent unfounded,3.86
2022,"Toronto, Ontario [35535]","Total, all Criminal Code violations (including traffic) [25]",Percent unfounded,3.34
2023,"Toronto, Ontario [35535]","Total, all Criminal Code violations (including traffic) [25]",Percent unfounded,2.31
2024,"Toronto, Ontario [35535]","Total, all Criminal Code violations (including traffic) [25]",Percent unfounded,1.88
2021,"Toronto, Ontario [35535]","Total, all Criminal Code violations (including traffic) [25]",Total cleared,68863
2022,"Toronto, Ontario [35535]","Total, all Criminal Code violations (including traffic) [25]",Total cleared,75246
2023,"Toronto, Ontario [35535]","Total, all Criminal Code violations (including traffic) [25]",Total cleared,86205
2024,"Toronto, Ontario [35535]","Total, all Criminal Code violations (including traffic) [25]",Total cleared,90658
2021,"Toronto, Ontario [35535]","Total, all Criminal Code violations (including traffic) [25]",Cleared by charge,56360
2022,"Toronto, Ontario [35535]","Total, all Criminal Code violations (including traffic) [25]",Cleared by charge,61212
2023,"Toronto, Ontario [35535]","Total, all Criminal Code violations (including traffic) [25]",Cleared by charge,70089
2024,"Toronto, Ontario [35535]","Total, all Criminal Code violations (including traffic) [25]",Cleared by charge,74681
